trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-151.39516594962754,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-53.64420686177108,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-54.88531943879106,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,5,-141.8196615867064,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-187.1341195456768,"{0: 20, 1: 1, 2: 10, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,12,-49.61151102203205,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,6,-28.356194319434458,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-13.926945959867014,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-50.10854263170754,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,12,10.92581325683767,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,6,-61.61258322237015,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-16.637947422436667,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-5.17456695054255,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,18,13.362842016819497,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,38.03271186180003,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,15,-48.10116063414446,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,16,15.303555491104962,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,6,19.92794743278037,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,15,21.24621378060079,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,2,30.092028655418222,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,13,11.35597490382414,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,8,42.52007358999612,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,3,28.85353998138582,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,32.24822604922863,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,18,32.264894335276814,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,16,19.308765454146357,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,8,29.0138147938892,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,8,45.18140041365394,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,27.647895871738545,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,3,34.80764836026761,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
