trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",20,0,-137.9407667958285,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.96}",25,0,-71.46040801070093,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.94}",30,0,-73.52883258540899,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-83.71576991671562,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-34.462905149770904,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-223.19215053118117,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,0,-112.65744907596677,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,12,-10.25829781294226,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.8199999999999998}",30,0,-96.47111132471926,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-159.68066868813605,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-39.43510232369104,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-41.603107556851974,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,6,-63.52227111433691,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,7,-19.386942944103463,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-12.376212062158515,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-46.06260758906492,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.6599999999999997}",35,0,-230.86956494988658,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 6}",0
18,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-139.33536748851282,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,2,5.998477665776937,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,3,-84.51976322643183,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,-100.61824472161932,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-6.54227961037308,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.5399999999999996}",30,3,-47.58049715038948,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,0,-39.14594792586369,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,0,-60.123412808439916,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,16,8.563775265925178,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,16.443979469461315,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,4,4.266499343944253,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,4,2.6129013568103128,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.39999999999999947}",35,8,-45.93303641275997,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 2}",1
31,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,-43.40006516257773,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,0,-10.214466801868344,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,0,17.964690282464716,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.3199999999999994}",30,13,-20.54734206087676,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,11,9.202536805966073,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,16,15.474398949272025,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.25999999999999934}",25,1,0.4877993954189055,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.23999999999999935}",25,12,26.866339500288074,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.21999999999999936}",30,22,17.51427127338962,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.19999999999999937}",30,13,23.17083527038239,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.17999999999999938}",25,12,23.2322465126452,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.1599999999999994}",25,12,16.407589182820665,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.1399999999999994}",20,6,28.815479093536645,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.1199999999999994}",20,8,10.394842744537737,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.0999999999999994}",25,17,12.924995314094485,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.07999999999999939}",25,12,22.362891532931357,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.05999999999999939}",20,8,19.039996522483495,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.03999999999999938}",20,15,8.90459428378394,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,3,28.757596136997662,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,10.747398611806759,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,3,31.910019514852628,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,20.49235304462798,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,14,13.993734964526396,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,17,17.05675487315103,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,13,15.410343035063903,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,14.448075551185775,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,10,27.608118034802136,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,23,12.758630716115514,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
