trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-214.60087173072407,"{0: 18, 1: 1, 2: 5, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.952304399773126,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.73512920433902,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.04855312949627,"{0: 16, 1: 3, 2: 2, 3: 4, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.75964466133448,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.19607254475295,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.87400683691854,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.75517679120091,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.40640550012333,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.45050390152537,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,4,-56.98903884364724,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.83178571700498,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-236.21274320168985,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.16487970848615,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-241.41505095576812,"{0: 14, 1: 4, 2: 8, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.7795109884765,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.64924757572874,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.08088358170336,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.36748510036934,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-190.10866775062402,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.371076259641214,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.04047103514355,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.11721874263844,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-231.73263850671657,"{0: 11, 1: 1, 2: 8, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-188.40129019115247,"{0: 12, 1: 6, 2: 9, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.28878680165217,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-202.93515491490618,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,6,-61.06470011280479,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.69607035622901,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.1448167575088,"{0: 12, 1: 7, 2: 3, 3: 1, 4: 2}",0
